Id,SectionOrder,PositionMM,PressureMPa,TemperatureC,BarrelTemperatureC,ScrewTemperatureC,ChannelHeightMM,ChannelWidthMM,ShearStressKPa,EnergyThermalMJm3,EnergyMechanicalMJm3,FlowRateDeltaSM3S,ShearDeformationAdded,ShearDeformationSummary
S3,3,1,81,184971,131515563,8186,34075548121,151,90,10,1,7,996690334471,1,37639084080543E-11,13,3300201403609,10601,0781130757,31,1525047987548,0,495254395750708,156,561022980455
S3,3,1,815,184971,131515563,8129,5788565968,151,90,10,2,7,99657529813075,1,33979686697212E-11,13,6050648211526,10601,0781130757,31,1525047987548,0,490406015231004,157,051428995686
S3,3,1,82,184971,131515563,8074,39169731854,151,90,10,3,7,99645415965431,1,30391345573751E-11,13,8781643990842,10601,0781130757,31,1525047987548,0,485652148826794,157,537081144513
S3,3,1,825,184971,131515563,8020,75199993152,151,90,10,4,7,99632647980156,1,26872011010357E-11,14,1493728369472,10601,0781130757,31,1525047987548,0,48099009662363,158,018071241137
S3,3,1,83,184971,131515563,7968,63335974531,151,90,10,5,7,99619177909765,1,23419711391028E-11,14,4187431627868,10601,0781130757,31,1525047987548,0,476417263963334,158,4944885051
S3,3,1,835,184971,131515563,7918,01022345439,151,90,10,6,7,99604953332906,1,20032549500365E-11,14,6863274998191,10601,0781130757,31,1525047987548,0,47193115674576,158,966419661846
S3,3,1,84,184971,131515563,7868,85786827555,151,90,10,7,7,99589916844055,1,16708699046911E-11,14,9521770956056,10601,0781130757,31,1525047987548,0,467529377029205,159,433949038875
S3,3,1,845,184971,131515563,7821,15238183808,151,90,10,8,7,99574005473994,1,13446401379631E-11,15,2163423505134,10601,0781130757,31,1525047987548,0,463209618915527,159,897158657791
S3,3,1,85,184971,131515563,7774,87064280416,151,90,10,9,7,99557150030157,1,10243962385146E-11,15,4788728454865,10601,0781130757,31,1525047987548,0,458969664707994,160,356128322499
S3,3,1,855,184971,131515563,7729,99030219725,151,90,11,7,99539274343915,1,07099749554197E-11,15,7398173691526,10601,0781130757,31,1525047987548,0,4548073813319,160,810935703831
S3,3,1,86,184971,131515563,7686,48976541748,151,90,11,1,7,99520294409508,1,04012189206689E-11,15,9992239442899,10601,0781130757,31,1525047987548,0,450720717010076,161,261656420841
S3,3,1,865,184971,131515563,7644,34817492376,151,90,11,2,7,99500117396403,1,00979763865386E-11,16,2571398536783,10601,0781130757,31,1525047987548,0,446707698187592,161,708364119028
S3,3,1,87,184971,131515563,7603,54539356314,151,90,11,3,7,99478640513405,9,80010097690621E-12,16,5136116653567,10601,0781130757,31,1525047987548,0,442766426702328,162,151130545731
S3,3,1,875,184971,131515563,7564,06198852878,151,90,11,4,7,99455749698509,9,50745145165332E-12,16,7686852573087,10601,0781130757,31,1525047987548,0,438895077200682,162,590025622931
S3,3,1,88,184971,131515563,7525,87921592867,151,90,11,5,7,99431318103279,9,21989148336135E-12,17,0224058415994,10601,0781130757,31,1525047987548,0,435091894800631,163,025117517732
S3,3,1,885,184971,131515563,7488,97900594783,151,90,11,6,7,99405204334116,8,93728944555717E-12,17,2748179879828,10601,0781130757,31,1525047987548,0,431355193007693,163,45647271074
S3,3,1,89,184971,131515563,7453,34394858763,151,90,11,7,7,99377250404787,8,65951821181802E-12,17,5259656470008,10601,0781130757,31,1525047987548,0,427683351893266,163,884156062633
S3,3,1,895,184971,131515563,7418,95727996643,151,90,11,8,7,99347279344802,8,3864549650914E-12,17,7758921725939,10601,0781130757,31,1525047987548,0,424074816549461,164,308230879182
S3,3,1,9,184971,131515563,7385,80286916644,151,90,11,9,7,99315092395906,8,11798101662909E-12,18,0246403442418,10601,0781130757,31,1525047987548,0,420528095840111,164,728758975022
S3,3,1,905,184971,131515563,7353,86520561234,151,90,12,7,99280465713638,7,85398163397448E-12,18,272252388654,10601,0781130757,31,1525047987548,0,417041761474449,165,145800736497
